타임스탬프,사용자ID,화면,이벤트,대상,값,행동,체류시간(ms),브라우저
2026. 2. 4 오후 12:07:22,session_1770173895969_igft3j693,미션2,버튼 클릭,다음,,다음 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:23,,contentUploadA,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:23,session_1770173895969_igft3j693,미션2,화면 진입,,,미션2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:25,session_1770173895969_igft3j693,미션2,화면 진입,,,미션2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:25,session_1770173895969_igft3j693,미션2,화면 진입,,,미션2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:26,,mission3_2,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:26,session_1770173895969_igft3j693,미션2,화면 이탈,,0.0초,미션2 화면 이탈 ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:27,session_1770173895969_igft3j693,미션2,버튼 클릭,완성하기,,완성하기 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:27,session_1770173895969_igft3j693,미션2,화면 진입,,,미션2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:30,,contentUploadB,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:07:59,,contentUploadB,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:11,,contentUploadB,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:12,,contentUploadB,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:12,session_1770173895969_igft3j693,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:14,session_1770173895969_igft3j693,미션2,화면 이탈,,57.4초,미션2 화면 이탈 ,57379,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:14,session_1770173895969_igft3j693,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:15,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:16,session_1770173895969_igft3j693,메인 미션 화면,버튼 클릭,미션 1,,미션 1 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:16,session_1770173895969_igft3j693,메인 미션 화면,미션 시작,미션 1,,미션 1 미션 시작,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:16,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:16,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:19,session_1770173895969_igft3j693,미션1,버튼 클릭,다음,,다음 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:20,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:20,,mission2_1,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:20,session_1770173895969_igft3j693,미션1,화면 이탈,,0.0초,미션1 화면 이탈 ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:21,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:21,session_1770173895969_igft3j693,미션1,버튼 클릭,save,,save 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:24,session_1770173895969_igft3j693,미션1,화면 이탈,,4.7초,미션1 화면 이탈 ,4658,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:24,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:25,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:25,,storyPlanningA,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:26,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:26,session_1770173895969_igft3j693,미션1,버튼 클릭,다음,,다음 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:28,,mission2_2,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:29,session_1770173895969_igft3j693,미션1,미션 완료,미션 1,,미션 1 미션 완료,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:29,session_1770173895969_igft3j693,미션1,화면 이탈,,0.0초,미션1 화면 이탈 ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:30,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:30,session_1770173895969_igft3j693,미션1,버튼 클릭,start_edit,,start_edit 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:32,session_1770173895969_igft3j693,미션1,화면 이탈,,1.8초,미션1 화면 이탈 ,1786,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:33,session_1770173895969_igft3j693,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:33,,storyPlanningB,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:34,session_1770173895969_igft3j693,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:34,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:42,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:59,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:59,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:08:59,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:01,session_1770173895969_igft3j693,메인 미션 화면,버튼 클릭,미션 1,,미션 1 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:01,session_1770173895969_igft3j693,메인 미션 화면,미션 시작,미션 1,,미션 1 미션 시작,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:10,,mission2_1,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:10,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:10,session_1770173895969_igft3j693,미션1,버튼 클릭,다음,,다음 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:10,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:11,session_1770173895969_igft3j693,미션1,화면 이탈,,0.0초,미션1 화면 이탈 ,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:11,session_1770173895969_igft3j693,미션1,버튼 클릭,save,,save 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:14,,storyPlanningA,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:16,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:17,,storyPlanningA,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:18,session_1770173895969_igft3j693,미션1,화면 이탈,,7.2초,미션1 화면 이탈 ,7241,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:18,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:20,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:22,,mission2_2,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:22,session_1770173895969_igft3j693,미션1,화면 이탈,,0.0초,미션1 화면 이탈 ,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:22,session_1770173895969_igft3j693,미션1,화면 진입,,,미션1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:22,session_1770173895969_igft3j693,미션1,버튼 클릭,다음,,다음 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:23,session_1770173895969_igft3j693,미션1,버튼 클릭,start_edit,,start_edit 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:24,session_1770173895969_igft3j693,미션1,미션 완료,미션 1,,미션 1 미션 완료,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:27,,storyPlanningB,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:33,session_1770173895969_igft3j693,미션1,화면 이탈,,13.7초,미션1 화면 이탈 ,13735,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:34,session_1770173895969_igft3j693,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:35,session_1770173895969_igft3j693,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:42,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:43,session_1770173895969_igft3j693,메인 미션 화면,버튼 클릭,미션 2,,미션 2 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:45,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:45,session_1770173895969_igft3j693,메인 미션 화면,미션 시작,미션 2,,미션 2 미션 시작,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:46,session_1770173895969_igft3j693,미션2,화면 진입,,,미션2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:46,session_1770173895969_igft3j693,미션2,화면 진입,,,미션2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 4 오후 12:09:46,session_1770173895969_igft3j693,미션2,화면 진입,,,미션2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
