타임스탬프,사용자ID,화면,이벤트,대상,값,행동,브라우저,디바이스
2026. 2. 5 오후 11:47:50,session_1770302867354_hxxuvkpx3,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/131.0.6778.0 Safari/537.36",desktop
2026. 2. 5 오후 11:49:22,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,미션 1-1,,미션 1-1 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:49:26,session_1770302915208_te36vyjba,편집1-1_화면,화면 이탈,,9.2초,편집1-1_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:49:27,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,재생,"{""currentCut"":1,""hasVideo"":true,""hasUploaded"":true,""isPlaying"":false,""expected"":true}",재생 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:49:28,session_1770302915208_te36vyjba,편집1-1_화면,미션 완료,편집1-1_미션완료,완료시간:7.9초,편집1-1_미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:49:29,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,영상업로드완료,"{""currentCut"":1,""fileName"":""20260202_180706.mp4"",""fileSize"":263689316}",영상업로드완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:49:29,session_1770302915208_te36vyjba,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:52:23,session_1770303139909_q2el1i8it,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:52:27,session_1770303139909_q2el1i8it,로그인,버튼 클릭,구글 로그인,,구글 로그인 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:21,session_1770303139909_q2el1i8it,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:25,session_1770303139909_q2el1i8it,로그인,로그인,구글,colabstart@gmail.com,구글 로그인,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:25,session_1770303139909_q2el1i8it,편집1-1_미션설명,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:26,session_1770303139909_q2el1i8it,메인 미션 화면,버튼 클릭,미션 1-1,,미션 1-1 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:27,session_1770303139909_q2el1i8it,편집1-1_미션설명,화면 진입,,,편집1-1_미션설명 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:27,session_1770303139909_q2el1i8it,메인 미션 화면,미션 시작,미션 1-1,,미션 1-1 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:27,session_1770303139909_q2el1i8it,편집1-1_화면,화면 진입,,,편집1-1_화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:28,session_1770303139909_q2el1i8it,편집1-1_화면,미션 시작,편집1-1_미션시작,,편집1-1_미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:32,session_1770303139909_q2el1i8it,편집1-1_화면,버튼 클릭,영상추가,"{""currentCut"":1,""hasVideo"":false,""isPlaying"":false}",영상추가 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:43,session_1770303139909_q2el1i8it,편집1-1_화면,버튼 클릭,영상업로드완료,"{""currentCut"":1,""fileName"":""20251219_140528.jpg"",""fileSize"":3189449}",영상업로드완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:48,session_1770303139909_q2el1i8it,편집1-1_화면,버튼 클릭,재생,"{""currentCut"":1,""hasVideo"":true,""hasUploaded"":true,""isPlaying"":false,""expected"":true}",재생 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:50,session_1770303139909_q2el1i8it,편집1-1_화면,미션 완료,편집1-1_미션완료,완료시간:25.9초,편집1-1_미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:53,session_1770303139909_q2el1i8it,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 5 오후 11:53:55,session_1770303139909_q2el1i8it,편집1-1_화면,화면 이탈,,27.6초,편집1-1_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:24,session_1770302915208_te36vyjba,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:28,session_1770302915208_te36vyjba,로그인,버튼 클릭,구글 로그인,,구글 로그인 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:32,session_1770302915208_te36vyjba,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:36,session_1770302915208_te36vyjba,메인 미션 화면,미션 시작,미션 1-1,,미션 1-1 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:36,session_1770302915208_te36vyjba,편집1-1_미션설명,화면 진입,,,편집1-1_미션설명 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:36,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,미션 1-1,,미션 1-1 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:36,session_1770302915208_te36vyjba,편집1-1_화면,화면 진입,,,편집1-1_화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:36,session_1770302915208_te36vyjba,로그인,로그인,구글,colabstart@gmail.com,구글 로그인,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:37,session_1770302915208_te36vyjba,편집1-1_화면,미션 시작,편집1-1_미션시작,,편집1-1_미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:42,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,영상추가,"{""currentCut"":1,""hasVideo"":false,""isPlaying"":false}",영상추가 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:45,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,영상업로드완료,"{""currentCut"":1,""fileName"":""20260202_180706.mp4"",""fileSize"":263689316}",영상업로드완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:46,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,재생,"{""currentCut"":1,""hasVideo"":true,""hasUploaded"":true,""isPlaying"":false,""expected"":true}",재생 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:47,session_1770302915208_te36vyjba,편집1-1_화면,미션 완료,편집1-1_미션완료,완료시간:11.0초,편집1-1_미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:50,session_1770302915208_te36vyjba,편집1-1_화면,화면 이탈,,13.9초,편집1-1_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:00:54,session_1770302915208_te36vyjba,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:04:44,session_1770302915208_te36vyjba,메인 미션 화면,미션 시작,미션 6-1,,미션 6-1 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:04:46,session_1770302915208_te36vyjba,편집6-1_미션설명,화면 진입,,,편집6-1_미션설명 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:04:48,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,미션 6-1,,미션 6-1 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:06:32,session_1770303989725_mtcnz4wd9,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/131.0.6778.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:08,session_1770302173921_h1xj2j222,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:11,session_1770302173921_h1xj2j222,편집2-1_미션설명,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:12,session_1770302173921_h1xj2j222,메인 미션 화면,버튼 클릭,미션 2-1,,미션 2-1 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:12,session_1770302173921_h1xj2j222,편집2-1_화면,화면 진입,,,편집2-1_화면 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:13,session_1770302173921_h1xj2j222,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:13,session_1770302173921_h1xj2j222,메인 미션 화면,미션 시작,미션 2-1,,미션 2-1 미션 시작,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:15,session_1770302173921_h1xj2j222,편집2-1_미션설명,화면 진입,,,편집2-1_미션설명 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:17,session_1770302173921_h1xj2j222,편집2-1_화면,미션 시작,편집2-1_미션시작,,편집2-1_미션시작 미션 시작,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:19,session_1770302173921_h1xj2j222,편집2-1_화면,버튼 클릭,컷4,"{""currentCut"":1,""targetCut"":4,""hasVideo"":false,""isPlaying"":false,""expected"":true}",컷4 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:22,session_1770302173921_h1xj2j222,편집2-1_화면,미션 완료,편집2-1_미션완료,완료시간:5.0초,편집2-1_미션완료 미션 완료,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:24,session_1770302173921_h1xj2j222,편집2-1_화면,화면 이탈,,13.7초,편집2-1_화면 화면 이탈 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:27,session_1770302173921_h1xj2j222,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오전 12:07:35,session_1770302915208_te36vyjba,편집6-1_화면,화면 진입,,,편집6-1_화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:07:38,session_1770302915208_te36vyjba,편집6-1_미션설명,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:07:38,session_1770302915208_te36vyjba,편집6-1_화면,미션 시작,편집6-1_기본미션시작,,편집6-1_기본미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:07:41,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,영상추가,"{""currentCut"":1,""hasVideo"":false,""isPlaying"":false,""missionStage"":0}",영상추가 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:07:44,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,영상업로드완료,"{""currentCut"":1,""fileName"":""20260202_180706.mp4"",""fileSize"":263689316,""missionStage"":0}",영상업로드완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:07:47,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,바로편집시작,"{""currentCut"":1,""uploadedCuts"":1,""missionStage"":0,""expected"":false}",바로편집시작 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:07:48,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,바로편집시작,"{""currentCut"":1,""uploadedCuts"":1,""missionStage"":0,""expected"":false}",바로편집시작 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:07:51,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,AI자막추천,"{""currentCut"":1,""hasVideo"":true,""currentSubtitle"":"""",""missionStage"":0,""isRecommend"":false}",AI자막추천 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:07:54,session_1770302915208_te36vyjba,편집6-1_화면,미션 완료,편집6-1_기본미션완료,완료시간:20.9초,편집6-1_기본미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:07:57,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,팝업확인,"{""currentCut"":1,""missionStage"":1}",팝업확인 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:07:58,session_1770302915208_te36vyjba,편집6-1_화면,미션 시작,편집6-1_추가미션시작,,편집6-1_추가미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:00,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,AI자막추천,"{""currentCut"":1,""hasVideo"":true,""currentSubtitle"":""성수동의 특별한 순간"",""missionStage"":2,""isRecommend"":true}",AI자막추천 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:02,session_1770302915208_te36vyjba,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:02,session_1770302915208_te36vyjba,편집6-1_화면,미션 완료,편집6-1_추가미션완료,완료시간:6.6초,편집6-1_추가미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:03,session_1770302915208_te36vyjba,편집6-1_화면,화면 이탈,,27.6초,편집6-1_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:05,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,mission_10,,mission_10 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:08,session_1770302915208_te36vyjba,기획1-1A,화면 진입,,,기획1-1A 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:08,session_1770302915208_te36vyjba,기획1-1A_화면,화면 진입,,,기획1-1A_화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 12:08:08,session_1770302915208_te36vyjba,기획1-1A_화면,미션 시작,기획1-1_A미션시작,,기획1-1_A미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
