타임스탬프,사용자ID,화면,이벤트,대상,값,행동,브라우저,디바이스
2026. 2. 6 오전 2:00:21,session_1770310818759_dqtpi1c6r,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/131.0.6778.0 Safari/537.36",desktop
2026. 2. 6 오전 2:01:22,session_1770302915208_te36vyjba,편집6-1_화면,미션 완료,편집6-1_기본미션완료,완료시간:6.3초,편집6-1_기본미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:23,session_1770302915208_te36vyjba,메인 미션 화면,미션 시작,mission_10,,mission_10 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:24,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,mission_10,,mission_10 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:24,session_1770302915208_te36vyjba,기획1-1A,화면 진입,,,기획1-1A 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:24,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,"{""cutId"":2,""cutTitle"":""사용 장면 컷"",""prevCutId"":null,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:24,session_1770302915208_te36vyjba,편집6-1_화면,화면 이탈,,13.0초,편집6-1_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:26,session_1770302915208_te36vyjba,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:27,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,"{""cutId"":2,""cutTitle"":""사용 장면 컷"",""prevCutId"":2,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:27,session_1770302915208_te36vyjba,기획1-1A,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:28,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,"{""cutId"":2,""cutTitle"":""사용 장면 컷"",""prevCutId"":2,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:29,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,메모입력완료,"{""cutId"":2,""cutTitle"":""사용 장면 컷"",""memoLength"":4,""memoText"":""Test""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:30,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,"{""cutId"":4,""cutTitle"":""효과 전달 컷"",""prevCutId"":4,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:34,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,"{""cutId"":4,""cutTitle"":""효과 전달 컷"",""prevCutId"":2,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:34,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,저장하기,"{""memoCount"":2,""totalCuts"":6,""totalMemoLength"":8,""avgMemoLength"":""4.0"",""memoDetails"":[{""cutId"":1,""hasMemo"":false,""memoLength"":0},{""cutId"":2,""hasMemo"":true,""memoLength"":4},{""cutId"":3,""hasMemo"":false,""memoLength"":0},{""cutId"":4,""hasMemo"":true,""memoLength"":4},{""cutId"":5,""hasMemo"":false,""memoLength"":0},{""cutId"":6,""hasMemo"":false,""memoLength"":0}]}",저장하기 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:35,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,"{""cutId"":4,""cutTitle"":""효과 전달 컷"",""prevCutId"":4,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:37,session_1770302915208_te36vyjba,기획1-1B,화면 진입,,,기획1-1B 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:37,session_1770302915208_te36vyjba,기획1-1B_화면,화면 진입,,,기획1-1B_화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:37,session_1770302915208_te36vyjba,기획1-1B,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:37,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,메모입력완료,"{""cutId"":4,""cutTitle"":""효과 전달 컷"",""memoLength"":4,""memoText"":""1111""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:38,session_1770302915208_te36vyjba,기획1-1A_화면,미션 완료,기획1-1_A미션완료,"완료시간:11.9초,메모수:2,총길이:8",기획1-1_A미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:42,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,cut_select,"{""cutId"":1,""cutLabel"":""1"",""cutTitle"":""인트로(첫 장면)"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:43,session_1770302915208_te36vyjba,기획1-1B_화면,미션 시작,기획1-1_B미션시작,,기획1-1_B미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:51,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,cut_select,"{""cutId"":3,""cutLabel"":""6"",""cutTitle"":""마무리 장면"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:55,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,메모입력완료,"{""cutId"":1,""cutLabel"":""1"",""cutTitle"":""인트로(첫 장면)"",""memoLength"":6,""memoText"":""강한 메시지""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:55,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,cut_select,"{""cutId"":3,""cutLabel"":""6"",""cutTitle"":""마무리 장면"",""prevCutId"":3,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:58,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,저장하기,"{""memoCount"":2,""totalCuts"":3,""totalMemoLength"":11,""avgMemoLength"":""5.5"",""memoDetails"":[{""cutId"":1,""cutLabel"":""1"",""hasMemo"":true,""memoLength"":6},{""cutId"":2,""cutLabel"":""2 - 5"",""hasMemo"":false,""memoLength"":0},{""cutId"":3,""cutLabel"":""6"",""hasMemo"":true,""memoLength"":5}]}",저장하기 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:02:01,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,메모입력완료,"{""cutId"":3,""cutLabel"":""6"",""cutTitle"":""마무리 장면"",""memoLength"":5,""memoText"":""댓글 유도""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:02:01,session_1770302915208_te36vyjba,기획1-1B_화면,화면 이탈,,23.6초,기획1-1B_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:02:02,session_1770302915208_te36vyjba,기획1-1B_화면,미션 완료,기획1-1_B미션완료,"완료시간:23.5초,메모수:2,총길이:11",기획1-1_B미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:02:03,session_1770302915208_te36vyjba,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
